      16  0.150000000000E+00 -0.150000000000E+00 -0.150000000000E+00 -0.270344806714E+01  0.854036208892E+01  0.854036208892E+01  0.887893052906E+01  0.998323803533E+01  0.132596739951E+02  0.139131807076E+02  0.139131807076E+02
      17  0.160000000000E+00 -0.160000000000E+00 -0.160000000000E+00 -0.260061052603E+01  0.830930697178E+01  0.830930697178E+01  0.864699931656E+01  0.978414882187E+01  0.133638685063E+02  0.140168204979E+02  0.140168204979E+02
      18  0.170000000000E+00 -0.170000000000E+00 -0.170000000000E+00 -0.249116551404E+01  0.808488524427E+01  0.808488524427E+01  0.842178943817E+01  0.958907939375E+01  0.134747848512E+02  0.141271354158E+02  0.141271354158E+02
      19  0.180000000000E+00 -0.180000000000E+00 -0.180000000000E+00 -0.237511916232E+01  0.786711032097E+01  0.786711032097E+01  0.820330105974E+01  0.939826644615E+01  0.135924229431E+02  0.142441230046E+02  0.142441230046E+02
      20  0.190000000000E+00 -0.190000000000E+00 -0.190000000000E+00 -0.225247885648E+01  0.765599281765E+01  0.765599281765E+01  0.799153350259E+01  0.921190344619E+01  0.137167826132E+02  0.143677768326E+02  0.143677768326E+02
      21  0.200000000000E+00 -0.200000000000E+00 -0.200000000000E+00 -0.212325253691E+01  0.745154019192E+01  0.745154019192E+01  0.778648726166E+01  0.903018721923E+01  0.138478633982E+02  0.144980982279E+02  0.144980982279E+02
      22  0.210000000000E+00 -0.210000000000E+00 -0.210000000000E+00 -0.198744685432E+01  0.725376174781E+01  0.725376174781E+01  0.758816421257E+01  0.885326776324E+01  0.139856661012E+02  0.146350853355E+02  0.146350853355E+02
      23  0.220000000000E+00 -0.220000000000E+00 -0.220000000000E+00 -0.184507281685E+01  0.706266205758E+01  0.706266205758E+01  0.739656317950E+01  0.868127062479E+01  0.141301900887E+02  0.147787313493E+02  0.147787313493E+02
      24  0.230000000000E+00 -0.230000000000E+00 -0.230000000000E+00 -0.169613907166E+01  0.687824758343E+01  0.687824758343E+01  0.721168403858E+01  0.851429576777E+01  0.142814389946E+02  0.149290305697E+02  0.149290305697E+02
      25  0.240000000000E+00 -0.240000000000E+00 -0.240000000000E+00 -0.154065710222E+01  0.670051994810E+01  0.670051994810E+01  0.703352735889E+01  0.835245090240E+01  0.144394054823E+02  0.150859799802E+02  0.150859799802E+02
