      18  0.177081562500E+00  0.177081562500E+00  0.000000000000E+00 -0.197601763983E+02 -0.106556936945E+02 -0.938256872640E+01 -0.769383269515E+01  0.329609311273E+01  0.379603853669E+01  0.476332133563E+01  0.510419667957E+01
      19  0.187498125000E+00  0.187498125000E+00  0.000000000000E+00 -0.195004716676E+02 -0.110158589052E+02 -0.971159558406E+01 -0.739416171167E+01  0.283463435693E+01  0.415790953275E+01  0.512269834144E+01  0.548049738852E+01
      20  0.197914687500E+00  0.197914687500E+00  0.000000000000E+00 -0.192273061862E+02 -0.113684173736E+02 -0.100392708708E+02 -0.708147999959E+01  0.237723458378E+01  0.453958674227E+01  0.549885438643E+01  0.587824913373E+01
      21  0.208331250000E+00  0.208331250000E+00  0.000000000000E+00 -0.189410328003E+02 -0.117125466892E+02 -0.103639774268E+02 -0.675679218278E+01  0.192569299925E+01  0.494075914163E+01  0.588967432127E+01  0.629742977051E+01
      22  0.218747812500E+00  0.218747812500E+00  0.000000000000E+00 -0.186420779943E+02 -0.120475539509E+02 -0.106841878133E+02 -0.642126896538E+01  0.148159830167E+01  0.536101709719E+01  0.629160485849E+01  0.673800901375E+01
      23  0.229164375000E+00  0.229164375000E+00  0.000000000000E+00 -0.183309679573E+02 -0.123728568102E+02 -0.109984393165E+02 -0.607627673970E+01  0.104634449495E+01  0.579980686241E+01  0.669832474117E+01  0.719994382869E+01
      24  0.239580937500E+00  0.239580937500E+00  0.000000000000E+00 -0.180083625336E+02 -0.126879617484E+02 -0.113052901510E+02 -0.572340875638E+01  0.621163486197E+00  0.625636268417E+01  0.709796898193E+01  0.768317038651E+01
      25  0.249997500000E+00  0.249997500000E+00  0.000000000000E+00 -0.176751122385E+02 -0.129924516227E+02 -0.116032607978E+02 -0.536451773022E+01  0.207136936399E+00  0.672959252655E+01  0.746781451562E+01  0.818758743288E+01
      26  0.260414062500E+00  0.260414062500E+00  0.000000000000E+00 -0.173323490693E+02 -0.132859726165E+02 -0.118907432150E+02 -0.500175633378E+01 -0.194783004172E+00  0.721788342291E+01  0.776839423080E+01  0.871301689993E+01
      27  0.270830625000E+00  0.270830625000E+00  0.000000000000E+00 -0.169816363782E+02 -0.135682250467E+02 -0.121658479755E+02 -0.463760741040E+01 -0.583754676336E+00  0.771875451509E+01  0.795419941172E+01  0.925908202632E+01
      28  0.281247187500E+00  0.281247187500E+00  0.000000000000E+00 -0.166252405422E+02 -0.138389532627E+02 -0.124261368630E+02 -0.427491215746E+01 -0.959037757235E+00  0.801563905117E+01  0.822820086203E+01  0.982458719075E+01
      29  0.291663750000E+00  0.291663750000E+00  0.000000000000E+00 -0.162666363705E+02 -0.140979415914E+02 -0.126681226931E+02 -0.391687849445E+01 -0.131997806874E+01  0.799173625195E+01  0.873937088714E+01  0.104000532496E+02
      30  0.302080312500E+00  0.302080312500E+00  0.000000000000E+00 -0.159115051897E+02 -0.143450043332E+02 -0.128862814786E+02 -0.356706521959E+01 -0.166599665431E+01  0.793044071573E+01  0.923973679591E+01  0.104206871940E+02
      31  0.312496875000E+00  0.312496875000E+00  0.000000000000E+00 -0.155697420817E+02 -0.145799841597E+02 -0.130710578346E+02 -0.322931806043E+01 -0.199657993575E+01  0.786556813360E+01  0.970468023672E+01  0.104099788352E+02
      32  0.322913437500E+00  0.322913437500E+00  0.000000000000E+00 -0.152592432262E+02 -0.148027438174E+02 -0.132051020441E+02 -0.290765325044E+01 -0.231127019418E+01  0.781784031810E+01  0.100836063398E+02  0.103652328831E+02
      33  0.333330000000E+00  0.333330000000E+00  0.000000000000E+00 -0.150146980099E+02 -0.150089155752E+02 -0.132587468796E+02 -0.261168701358E+01 -0.260403481978E+01  0.779988224568E+01  0.102853321516E+02  0.102915157179E+02
      34  0.338538437500E+00  0.322913437500E+00  0.000000000000E+00 -0.151138900969E+02 -0.149211137055E+02 -0.132436285737E+02 -0.275286046439E+01 -0.246373846751E+01  0.780460263354E+01  0.102361978571E+02  0.103113400845E+02
      35  0.343746875000E+00  0.312496875000E+00  0.000000000000E+00 -0.152113216889E+02 -0.148602717190E+02 -0.131959249019E+02 -0.289162246629E+01 -0.232801250777E+01  0.781931878132E+01  0.101790521763E+02  0.102887119135E+02
      36  0.348955312500E+00  0.302080312500E+00  0.000000000000E+00 -0.153056364118E+02 -0.148279468040E+02 -0.131156020343E+02 -0.302615636907E+01 -0.219900182898E+01  0.784442026319E+01  0.101161888967E+02  0.102344577532E+02
      37  0.354163750000E+00  0.291663750000E+00  0.000000000000E+00 -0.153968180605E+02 -0.148211874172E+02 -0.130058159352E+02 -0.315641753067E+01 -0.207702304752E+01  0.788010398905E+01  0.100485939359E+02  0.101554061490E+02
      38  0.359372187500E+00  0.281247187500E+00  0.000000000000E+00 -0.154848565466E+02 -0.148351074366E+02 -0.128716750649E+02 -0.328237069313E+01 -0.196232102286E+01  0.792636983488E+01  0.997723095286E+01  0.100514894321E+02
      39  0.364580625000E+00  0.270830625000E+00  0.000000000000E+00 -0.155697436622E+02 -0.148644724975E+02 -0.127186610019E+02 -0.340398201479E+01 -0.185506658750E+01  0.798301932002E+01  0.990247443919E+01  0.991637988383E+01
      40  0.369789062500E+00  0.260414062500E+00  0.000000000000E+00 -0.156514726446E+02 -0.149047054731E+02 -0.125516254498E+02 -0.352122313677E+01 -0.175535393283E+01  0.804964767545E+01  0.974000179551E+01  0.982739478185E+01
      41  0.374997500000E+00  0.249997500000E+00  0.000000000000E+00 -0.157300368531E+02 -0.149522072863E+02 -0.123744735159E+02 -0.363406523547E+01 -0.166319771158E+01  0.812563472514E+01  0.952704304562E+01  0.975026277388E+01
